Id;Ecole;Commune;Langue;Sector;Course;Level;Degree;Mode;Price;Price_id;Duration;Duration_id
140;106;6021;Français;235;Formation pour chariot télescopiques ;2;198;2;410;1;1;3
141;71;6711;Français;235;Formation pour chariot télescopiques ;2;198;2;410;1;1;3
142;68;2206;Français;235;Formation pour contrepoids et chariots téléscopiques;2;198;2;845;1;2;3
143;68;5749;Français;235;Formation pour contrepoids et chariots téléscopiques;2;198;2;845;1;2;3
144;106;6021;Français;235;Formation pour contrepoids et chariots téléscopiques;2;198;2;845;1;2;3
145;71;6711;Français;235;Formation pour contrepoids et chariots téléscopiques;2;198;2;845;1;2;3
146;68;2206;Français;235;Formation théorique pour caristes;2;198;2;160;1;0.5;3
147;68;2206;Français;235;Mise à jour des formations de caristes en entreprise ou de l'étranger;2;198;2;395;1;1;3
148;68;5749;Français;235;Mise à jour des formations de caristes en entreprise ou de l'étranger;2;198;2;395;1;1;3
149;106;6021;Français;235;Mise à jour des formations de caristes en entreprise ou de l'étranger;2;198;2;395;1;1;3
150;71;6711;Français;235;Mise à jour des formations de caristes en entreprise ou de l'étranger;2;198;2;395;1;1;3
151;68;2206;Français;235;Ecole de conduite pour chariots élévateurs;2;198;2;270;1;0.5;3
152;68;5749;Français;235;Ecole de conduite pour chariots élévateurs;2;198;2;270;1;0.5;3
153;68;2206;Français;235;Cours de perfectionnement pour caristes;2;155;2;380;1;1;3
154;68;5749;Français;235;Cours de perfectionnement pour caristes;2;155;2;380;1;1;3
155;106;6021;Français;235;Cours de perfectionnement pour caristes;2;155;2;380;1;1;3
156;71;6711;Français;235;Cours de perfectionnement pour caristes;2;155;2;380;1;1;3
157;68;2206;Français;235;Formation de caristes ;2;198;2;730;1;2;3
158;68;5749;Français;235;Formation de caristes ;2;198;2;730;1;2;3
159;106;6021;Français;235;Formation de caristes ;2;198;2;730;1;2;3
160;71;6711;Français;235;Formation de caristes ;2;198;2;730;1;2;3
161;68;2206;Français;235;Formation de caristes ;2;198;2;1150;1;4;3
162;68;5749;Français;235;Formation de caristes ;2;198;2;1150;1;4;3
163;106;6021;Français;235;Formation de caristes ;2;198;2;1150;1;4;3
164;71;6711;Français;235;Formation de caristes ;2;198;2;1150;1;4;3
165;68;2206;Français;235;Formation pour la conduite des chariots élévateurs à timon;2;198;2;330;1;1;3
166;68;5749;Français;235;Formation pour la conduite des chariots élévateurs à timon;2;198;2;330;1;1;3
167;106;6021;Français;235;Formation pour la conduite des chariots élévateurs à timon;2;198;2;330;1;1;3
168;71;6711;Français;235;Formation pour la conduite des chariots élévateurs à timon;2;198;2;330;1;1;3
169;68;2206;Français;235;Compétences selon la législation des produits  chimiques avec certificat;2;155;2;820;1;2;3
170;68;2206;Français;235;Utilisateurs de plateforme élévatrice;2;155;2;750;1;1;3
171;68;2206;Français;235;Cours pour utilisateur de pont roulant;2;155;2;750;1;2;3
172;68;2206;Français;235;Cours pour utilisateur de pont roulant (module de base);2;155;2;0;4;1;3
173;68;2206;Français;235;Stockage et manutention des marchandises  dangereuses;2;155;2;650;1;2;3
174;68;2206;Français;235;Réception de marchandises;2;155;2;380;1;1;3
175;68;2206;Français;235;Cours de base pour la logistique;2;155;2;4200;1;15;3
176;69;5586;Français;212;Entrainement à la journée de l'excellence;2;170;2;2150;1;2;3
177;69;5586;Français;252;Assistant en gestion du personnel;2;170;5;4140;1;6;4
178;69;5586;Français;252;Leadership certificat SVF-ASFC;2;170;5;5760;1;6;4
180;69;5586;Français;202;Cours préparatoires comptabilité ESBF;2;202;3;436;1;3;3
181;69;6621;Français;202;Cours préparatoires comptabilité ESBF;2;202;3;436;1;3;3
182;69;5586;Français;194;Cours préparatoires mathématiques et statistiques ESBF ;2;202;3;436;1;3;3
183;69;6621;Français;194;Cours préparatoires mathématiques et statistiques ESBF ;2;202;3;436;1;3;3
186;66;5586;Français;222;Le jeu en formation;2;202;2;660;1;1;3
187;66;5586;Français;222;Analyse de pratique entre formateurs  par le « théâtre-image »;2;202;2;825;1;1;3
191;66;5586;Français;210;Passerelles entre neurosciences cognitives et apprentissage;2;202;2;2790;1;6;3
192;66;5586;Français;222;Maîtriser les techniques d’animation;2;202;2;1980;1;3;3
193;66;5586;Français;187;Gérer administrativement des formations;2;202;2;1320;1;2;3
194;66;2275;Français;222;Accompagner des processus de formation en groupe;2;179;2;1900;1;5;3
195;66;5586;Français;222;Animer des sessions de formation pour adultes (FSEA 1);2;175;5;4580;1;4;4
196;66;2275;Français;222;Soutenir des processus d’apprentissage individuels;2;178;2;1200;1;4;3
197;66;2275;Français;222;Concevoir des sessions de formation pour adultes  sur le plan didactique;2;178;2;4100;1;12;3
198;66;2275;Français;222;Concevoir des offres de formation pour adultes;2;178;2;4100;1;12;3
199;67;5586;Français;236;Réussir sa prise de parole en public;2;157;2;0;4;2;3
200;67;5586;Français;236;Perfectionner sa prise de parole en public;2;157;2;0;4;1;3
201;67;5586;Français;218;Elevator pitch;2;202;2;0;4;1;3
202;67;5586;Français;236;La team building pour créer une équipe gagnante;2;202;2;0;4;2;3
203;67;5586;Français;236;Bien (ré)agir avec un client;2;202;2;0;4;1;3
204;70;5586;Français;236;Spécialiste en organisation d'entreprise;3;165;3;14900;1;52;4
205;70;5586;Français;266;HERMES 5.1 Upgrade;2;202;2;450;1;1;3
206;70;5586;Français;266;HERMES 5.1 Introduction;2;202;2;750;1;1;3
207;70;5586;Français;266;HERMES 5.1 Foundation;2;177;2;1350;1;2;3
208;70;5586;Français;266;HERMES 5.1 Advanced;2;177;2;1590;1;3;3
209;70;5586;Français;252;Start - Coaching;2;202;2;525;1;1;3
210;70;5586;Français;236;Lean Six Sigma Yellow Belt;2;202;2;625;1;1;3
211;70;5586;Anglais;212;Business Ana﻿lyst;2;177;2;6350;1;10;3
212;72;371;Français;202;Comptabilité intensive;2;202;3;2460;1;10;4
213;72;371;Français;202;Comptable spécialisé;3;181;3;7350;1;18;4
214;72;371;Français;202;Agent fiduciaire spécialisé;3;181;3;2450;1;6;4
215;72;371;Français;236;Conduire une équipe;2;202;2;2050;1;6;3
216;72;371;Français;237;Généraliste en marketing et communication moderne;3;181;3;6000;1;4;4
217;72;371;Français;237;Spécialiste marketing;3;165;3;10900;1;14;4
218;72;371;Français;271;Spécialiste de vente;3;165;3;9000;1;18;4
219;72;371;Français;252;Assistant en gestion du personnel;2;177;3;2950;1;6;4
220;72;371;Français;252;Spécialiste RH;3;165;3;9300;1;12;4
221;72;371;Français;222;Cours obligatoire pour formateurs d'apprentis;2;156;2;730;1;5;3
222;72;371;Français;200;Accompagnement des STA/UF Formation commerciale;2;202;2;340;1;1;3
223;72;371;Français;200;Diplôme de bureautique;3;181;3;9150;1;18;4
226;72;371;Français;200;Office Management - Responsabilité et efficacité;2;202;2;750;1;2;3
227;72;371;Français;200;Le langage moderne des lettres et des e-mails;2;202;2;450;1;1;3
228;72;371;Allemand;232;Niveau moyen B1;2;160;3;830;1;8;4
229;72;371;Allemand;232;Niveau moyen B2;2;161;3;830;1;8;4
230;72;371;Allemand;232;Niveau avancé C1;2;166;3;890;1;8;4
231;72;371;Français;232;Niveau moyen B1;2;160;3;830;1;8;4
232;72;371;Français;232;Niveau moyen B2;2;161;3;830;1;8;4
233;72;371;Français;232;Niveau avancé C1;2;166;3;890;1;8;4
234;72;371;Anglais;232;Niveau moyen B1;2;160;3;830;1;8;4
235;72;371;Anglais;232;Niveau moyen B2;2;161;3;830;1;7;4
236;72;371;Anglais;232;Niveau avancé C1;2;166;3;890;1;7;4
237;72;371;Anglais;232;Cambridge BEC Vantage Business English Certificate;2;170;3;1645;1;11;4
238;73;5586;Français;186;Certificat d'approvisionneur;2;170;3;6000;1;12;4
239;73;6458;Français;186;Certificat d'approvisionneur;2;170;3;6000;1;12;4
240;73;5586;Français;186;Diplôme en achats et approvisionnements;3;181;3;9180;1;6;4
241;73;6458;Français;186;Diplôme en achats et approvisionnements;3;181;3;9180;1;6;4
242;73;5586;Français;186;Formation acheteur confirmé;3;181;3;7150;1;12;4
243;73;5586;Français;186;Diplôme d'études supérieures en achats  (préparation travail de mémoire);3;181;2;4200;1;1;3
244;73;2196;Français;202;Diplôme d'aide comptable;3;181;3;5410;1;10;4
245;73;6621;Français;202;Diplôme d'aide comptable;3;181;3;5410;1;9;4
246;73;5586;Français;202;Diplôme d'aide comptable;3;181;3;5410;1;11;4
247;73;6458;Français;202;Diplôme d'aide comptable;3;181;3;5410;1;10;4
248;73;6266;Français;202;Diplôme d'aide comptable;3;181;3;5410;1;8;4
249;73;6621;Français;202;Diplôme de comptable confirmé;3;181;3;6485;1;11;4
250;73;5586;Français;202;Diplôme de comptable confirmé;3;181;3;6485;1;11;4
251;73;6458;Français;202;Diplôme de comptable confirmé;3;181;3;6485;1;11;4
252;73;6621;Français;236;Diplôme assistant de direction;3;181;3;7450;1;14;4
253;73;5586;Français;236;Diplôme assistant de direction;3;181;3;7450;1;15;4
254;73;6458;Français;236;Diplôme assistant de direction;3;181;3;7450;1;16;4
255;73;6621;Français;237;Diplôme business coordinator  Marketing stratégique et opérationnel;3;181;3;7300;1;5;4
256;73;5586;Français;237;Diplôme business coordinator  Marketing stratégique et opérationnel;3;181;3;7300;1;5;4
257;73;6458;Français;237;Diplôme business coordinator  Marketing stratégique et opérationnel;3;181;3;7300;1;5;4
258;73;6621;Français;236;Diplôme business coordinator  Management et communication interpersonnelle;3;181;3;7300;1;5;4
259;73;5586;Français;236;Diplôme business coordinator  Management et communication interpersonnelle;3;181;3;7300;1;6;4
260;73;6458;Français;236;Diplôme business coordinator  Management et communication interpersonnelle;3;181;3;7300;1;3;4
261;73;6621;Français;236;Diplôme business coordinator  Négociation et organisation de réunion;3;181;3;7300;1;2;4
262;73;5586;Français;236;Diplôme business coordinator  Négociation et organisation de réunion;3;181;3;7300;1;3;4
263;73;6458;Français;236;Diplôme business coordinator  Négociation et organisation de réunion;3;181;3;7300;1;3;4
264;73;6621;Français;225;Diplôme de Gestion d’Entreprise Brevet fédéral de Spécialiste en gestion de PME;3;165;3;11400;1;18;4
265;73;5586;Français;225;Diplôme de Gestion d’Entreprise Brevet fédéral de Spécialiste en gestion de PME;3;165;3;11400;1;18;4
266;73;6458;Français;225;Diplôme de Gestion d’Entreprise Brevet fédéral de Spécialiste en gestion de PME;3;165;3;11400;1;18;4
267;73;5586;Français;236;Etudes supérieures en Management  & Administration d’Entreprise;1;186;3;22500;1;24;4
268;73;6458;Français;236;Etudes supérieures en Management  & Administration d’Entreprise;1;186;3;22500;1;24;4
269;73;5586;Français;237;Certificat fédéral Examen d'admission Markom;2;170;3;3340;1;0;6
270;73;6621;Français;237;Diplôme de Marketing & Communication d’Entreprise;3;181;3;5580;1;11;4
271;73;5586;Français;237;Diplôme de Marketing & Communication d’Entreprise;3;181;3;5580;1;12;4
272;73;6458;Français;237;Diplôme de Marketing & Communication d’Entreprise;3;181;3;5580;1;12;4
273;73;6266;Français;237;Diplôme de Marketing & Communication d’Entreprise;3;181;3;5580;1;11;4
274;73;5586;Français;237;Brevet fédéral spécialiste en marketing;3;165;3;11500;1;0;6
275;73;6621;Français;224;Introduction au management de projet;2;202;3;1210;1;2;4
276;73;5586;Français;224;Introduction au management de projet;2;202;3;1210;1;2;4
277;73;6458;Français;224;Introduction au management de projet;2;202;3;1210;1;2;4
278;73;6621;Français;224;Diplôme de chef de projet;3;181;3;6720;1;11;4
279;73;5586;Français;224;Diplôme de chef de projet;3;181;3;6720;1;11;4
280;73;6458;Français;224;Diplôme de chef de projet;3;181;3;6720;1;11;4
281;73;5586;Français;224;Certification internationale PMI;2;167;3;1850;1;2;4
282;73;5586;Français;224;Certification internationale PMI;2;199;3;1850;1;2;4
283;73;5586;Français;224;Certification internationale IPMA;2;189;2;1200;1;2;3
284;73;5586;Français;224;Certification internationale IPMA;2;188;2;1650;1;3;3
285;73;5586;Français;224;Diplôme d'Etudes Supérieures de Directeur de Projet;3;181;3;0;4;0;6
286;73;6621;Français;252;Diplôme de management et resources humaines;3;181;3;5450;1;11;4
287;73;5586;Français;252;Diplôme de management et resources humaines;3;181;3;5450;1;11;4
288;73;6458;Français;252;Diplôme de management et resources humaines;3;181;3;5450;1;11;4
289;73;6266;Français;252;Diplôme de management et resources humaines;3;181;3;5450;1;11;4
290;73;5586;Français;271;Diplôme de conseiller de vente;3;181;3;5750;1;11;4
291;73;6458;Français;271;Diplôme de conseiller de vente;3;181;3;5750;1;11;4
292;73;5586;Français;271;Diplôme de coordinateur commercial;3;181;3;4170;1;8;4
293;73;6458;Français;271;Diplôme de manager de vente;3;181;3;9770;1;11;4
294;73;5586;Français;271;Diplôme de manager de vente;3;181;3;9770;1;11;4
296;75;6458;Français;230;Preliminary U-CH - premier niveau bureautique;2;170;3;0;4;0;6
297;75;6458;Français;230;First U-CH - deuxième niveau bureautique;2;170;3;0;4;0;6
298;75;6458;Français;230;Job ict User Certificate U-CH - troisième niveau de qualification;2;170;3;0;4;0;6
299;75;6436;Français;228;Formation modulaire en horlogerie;2;170;3;0;4;12;4
300;75;446;Français;239;Formation modulaire de mécanicien de production;2;170;3;0;4;0;6
301;75;6436;Français;239;Formation modulaire de mécanicien de production;2;170;3;0;4;0;6
302;75;6458;Français;248;CFC d'opérateur-trice de machines automatisées selon l'art. 32;2;174;3;0;4;24;4
303;75;446;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
304;75;6436;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
305;75;6266;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
306;75;6458;Français;271;CFC de Gestionnaire du commerce de détail selon l'art. 32;2;174;3;0;4;24;4
307;75;6458;Français;271;CFC d'employé-e de commerce selon l'art. 32 (voie B et voie E);2;174;3;0;4;0;6
308;75;6458;Français;202;Brevet fédéral de spécialiste en finance et comptabilité;3;165;3;11400;1;24;4
310;75;6458;Français;211;Diplôme de secrétaire juridique;3;181;3;4650;1;12;4
311;75;6458;Français;236;Brevet fédéral Leadership & Management;3;165;3;15500;1;18;4
312;75;6458;Français;236;Certificat d'assistant-e en gestion du personnel;2;170;3;1950;1;6;4
313;75;6421;Français;236;Certificat d'assistant-e en gestion du personnel;2;170;3;1950;1;6;4
314;75;446;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
315;75;6436;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
316;75;6458;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
317;75;2196;Français;248;Brevet Fédéral d'Expert-e en production;3;165;3;18880;1;24;4
318;75;6458;Français;259;Post-Diplôme ES - Direction d'institution de l'enfance;1;182;4;12500;1;12;4
319;75;6458;Français;259;CFC d'assistant en soins et santé communautaire selon l'art. 32;2;174;4;7804;1;15;4
320;75;6458;Français;259;CFC d'assistant-e socio-éducatif-ve selon l'art. 32;2;174;4;4242;1;12;4
321;75;6458;Français;222;Brevet fédéral de formateur d'adultes;3;165;4;11510;1;8;4
322;75;6458;Français;222;Certificat formateurs de langue dans le domaine de l’intégration;2;170;4;14090;1;7;4
323;76;446;Français;186;Négocier et communiquer dans l'achat et la vente;2;155;4;1490;1;4;3
324;76;443;Français;192;Initiation à l'automate programmable;2;155;3;987;1;8;3
325;76;700;Français;258;Brevet fédéral de Conseiller en sécurité électrique;3;165;3;5800;1;24;4
326;76;443;Français;203;Brevet fédéral de concierge;3;165;4;6300;1;24;4
327;76;446;Français;260;Assistant spécalisé en soins de longue durée et accompagnement;2;165;2;0;4;5;3
328;74;443;Français;197;Lecture de plan;2;155;3;0;4;2;3
329;76;446;Français;197;Programmeur CFAO sur tour ou fraiseuse à  commande numérique (AlphaCAM);2;155;3;2200;1;12;3
330;76;446;Français;197;Programmeur CFAO sur tour ou fraiseuse  à commande numérique (GibbsCAM);2;155;2;2305;1;5;3
331;76;446;Français;197;Programmeur CFAO sur tour poupée mobile  à commande numérique (Mastercam Swiss Expert);2;155;2;2305;1;5;3
332;76;700;Français;204;CADWORK - Cours de base;2;155;4;680;1;4;3
333;76;446;Français;198;La communication et l'information dans le cadre du coaching ;2;155;2;680;1;2;3
334;76;446;Français;198;Introduction au coaching;2;155;2;680;1;2;3
335;76;446;Français;198;Les différentes approches et outils psychologiques  dans le cadre du coaching;2;155;2;680;1;2;3
336;76;446;Français;198;Connaissance de soi et du coaché;2;155;2;950;1;2;3
337;76;446;Français;198;Les principaux domaines d'intervention du coaching;2;155;2;680;1;2;3
338;76;446;Français;198;La communication et l'information dans le cadre du coaching ;2;155;2;680;1;2;3
339;76;446;Français;198;La communication avancée;2;155;2;680;1;2;3
340;76;446;Français;198;Les entraînements aux séances de coaching;2;155;2;680;1;2;3
341;76;446;Français;198;Les différentes approches et outils psychologiques  dans le cadre du coaching;2;155;2;680;1;2;3
342;76;446;Français;198;Les principaux domaines d'intervention du coaching;2;155;2;680;1;2;3
343;76;446;Français;201;L'équilibre de vie : la clé du succès;2;155;2;680;1;2;3
344;76;446;Français;201;Gérer, traiter et anticiper les relations difficiles au travail;2;155;2;810;1;2;3
345;76;446;Français;201;Mensonge et manipulation;2;155;2;450;1;1;3
346;76;446;Français;201;Les émotions nos amies…;2;155;2;580;1;2;3
347;76;446;Français;201;Connaître ses interlocuteurs pour mieux communiquer  (méthode PCM);2;155;4;1250;1;3;3
348;76;446;Français;201;Prévention du burnout;2;155;2;680;1;2;3
349;76;446;Français;201;La prise de parole en public;2;155;2;750;1;2;3
350;76;446;Français;201;Conduire des séances et y participer efficacement;2;155;2;450;1;1;3
351;76;446;Français;252;Les pratiques d'un engagement optimal;2;155;4;1490;1;4;3
